beach_id,tide_time,tide_type,tide_height
961,2023-09-25 13:48:00.000000 +00:00,high,1.7852949722189584
961,2023-09-25 20:26:00.000000 +00:00,low,-1.8947004237601828
961,2023-09-26 02:30:00.000000 +00:00,high,1.8813337246634871
961,2023-09-26 08:52:00.000000 +00:00,low,-2.0461457989399627
961,2023-09-26 14:57:00.000000 +00:00,high,2.392115448535536
961,2023-09-26 21:25:00.000000 +00:00,low,-2.5500239974407055
961,2023-09-27 03:28:00.000000 +00:00,high,2.4966497712738502
961,2023-09-27 09:45:00.000000 +00:00,low,-2.6899615545216617
961,2023-09-27 15:49:00.000000 +00:00,high,3.034202015450732
961,2023-09-27 22:13:00.000000 +00:00,low,-3.163934253023013
961,2023-09-28 04:15:00.000000 +00:00,high,3.074844816021612
961,2023-09-28 10:30:00.000000 +00:00,low,-3.25679169455242
961,2023-09-28 16:34:00.000000 +00:00,high,3.5728143331296995
961,2023-09-28 22:55:00.000000 +00:00,low,-3.6303396983491476
961,2023-09-29 04:57:00.000000 +00:00,high,3.5188032686167103
961,2023-09-29 11:11:00.000000 +00:00,low,-3.6597470913714067
961,2023-09-29 17:15:00.000000 +00:00,high,3.9257210116543324
961,2023-09-29 23:34:00.000000 +00:00,low,-3.888038574199866
961,2023-09-30 05:36:00.000000 +00:00,high,3.772030689423386
961,2023-09-30 11:49:00.000000 +00:00,low,-3.8477335663035666
961,2023-09-30 17:54:00.000000 +00:00,high,4.048450717180528
962,2023-09-21 04:14:00.000000 +00:00,high,0.5422564168749651
962,2023-09-21 11:46:00.000000 +00:00,low,-0.2623523259491696
962,2023-09-21 16:49:00.000000 +00:00,high,0.3609165472880483
962,2023-09-21 23:23:00.000000 +00:00,low,-0.32527075858674337
962,2023-09-22 05:04:00.000000 +00:00,high,0.5268895172832416
962,2023-09-22 12:46:00.000000 +00:00,low,-0.25039053999069416
962,2023-09-22 17:47:00.000000 +00:00,high,0.33782858310588243
962,2023-09-23 00:20:00.000000 +00:00,low,-0.30695271178871486
962,2023-09-23 06:03:00.000000 +00:00,high,0.5042868890437282
962,2023-09-23 13:54:00.000000 +00:00,low,-0.25121125548394085
962,2023-09-23 18:55:00.000000 +00:00,high,0.32902706788995517
962,2023-09-24 01:29:00.000000 +00:00,low,-0.2986318234280311
962,2023-09-24 07:13:00.000000 +00:00,high,0.4877313282325869
962,2023-09-24 15:02:00.000000 +00:00,low,-0.27216867399665634
962,2023-09-24 20:07:00.000000 +00:00,high,0.3456661735062508
962,2023-09-25 02:48:00.000000 +00:00,low,-0.31091012069358936
962,2023-09-25 08:28:00.000000 +00:00,high,0.49087781244749656
962,2023-09-25 16:04:00.000000 +00:00,low,-0.3120378962279093
962,2023-09-25 21:14:00.000000 +00:00,high,0.3888708545944724
962,2023-09-26 04:04:00.000000 +00:00,low,-0.3472131650395641
962,2023-09-26 09:37:00.000000 +00:00,high,0.5134646071389908
962,2023-09-26 17:00:00.000000 +00:00,low,-0.3626304188379967
962,2023-09-26 22:14:00.000000 +00:00,high,0.44948423076359284
962,2023-09-27 05:10:00.000000 +00:00,low,-0.3965429613916806
962,2023-09-27 10:38:00.000000 +00:00,high,0.5423656935824872
962,2023-09-27 17:52:00.000000 +00:00,low,-0.4134484002601039
962,2023-09-27 23:08:00.000000 +00:00,high,0.5156543939852023
962,2023-09-28 06:10:00.000000 +00:00,low,-0.44447100768998116
962,2023-09-28 11:33:00.000000 +00:00,high,0.5644560945987445
962,2023-09-28 18:40:00.000000 +00:00,low,-0.45483440278692727
962,2023-09-28 23:59:00.000000 +00:00,high,0.5762692411059951
962,2023-09-29 07:06:00.000000 +00:00,low,-0.4801363952453229
962,2023-09-29 12:25:00.000000 +00:00,high,0.5715297815441348
962,2023-09-29 19:26:00.000000 +00:00,low,-0.47969701028549283
962,2023-09-30 00:47:00.000000 +00:00,high,0.6220726382694692
962,2023-09-30 07:59:00.000000 +00:00,low,-0.4973336699368155
962,2023-09-30 13:14:00.000000 +00:00,high,0.5604873750568216
962,2023-09-30 20:10:00.000000 +00:00,low,-0.4844576882302887
963,2023-09-21 04:14:00.000000 +00:00,high,0.5422564168749651
963,2023-09-21 11:46:00.000000 +00:00,low,-0.2623523259491696
963,2023-09-21 16:49:00.000000 +00:00,high,0.3609165472880483
963,2023-09-21 23:23:00.000000 +00:00,low,-0.32527075858674337
963,2023-09-22 05:04:00.000000 +00:00,high,0.5268895172832416
963,2023-09-22 12:46:00.000000 +00:00,low,-0.25039053999069416
963,2023-09-22 17:47:00.000000 +00:00,high,0.33782858310588243
963,2023-09-23 00:20:00.000000 +00:00,low,-0.30695271178871486
963,2023-09-23 06:03:00.000000 +00:00,high,0.5042868890437282
963,2023-09-23 13:54:00.000000 +00:00,low,-0.25121125548394085
963,2023-09-23 18:55:00.000000 +00:00,high,0.32902706788995517
963,2023-09-24 01:29:00.000000 +00:00,low,-0.2986318234280311
963,2023-09-24 07:13:00.000000 +00:00,high,0.4877313282325869
963,2023-09-24 15:02:00.000000 +00:00,low,-0.27216867399665634
963,2023-09-24 20:07:00.000000 +00:00,high,0.3456661735062508
963,2023-09-25 02:48:00.000000 +00:00,low,-0.31091012069358936
963,2023-09-25 08:28:00.000000 +00:00,high,0.49087781244749656
963,2023-09-25 16:04:00.000000 +00:00,low,-0.3120378962279093
963,2023-09-25 21:14:00.000000 +00:00,high,0.3888708545944724
963,2023-09-26 04:04:00.000000 +00:00,low,-0.3472131650395641
963,2023-09-26 09:37:00.000000 +00:00,high,0.5134646071389908
963,2023-09-26 17:00:00.000000 +00:00,low,-0.3626304188379967
963,2023-09-26 22:14:00.000000 +00:00,high,0.44948423076359284
963,2023-09-27 05:10:00.000000 +00:00,low,-0.3965429613916806
963,2023-09-27 10:38:00.000000 +00:00,high,0.5423656935824872
963,2023-09-27 17:52:00.000000 +00:00,low,-0.4134484002601039
963,2023-09-27 23:08:00.000000 +00:00,high,0.5156543939852023
963,2023-09-28 06:10:00.000000 +00:00,low,-0.44447100768998116
963,2023-09-28 11:33:00.000000 +00:00,high,0.5644560945987445
963,2023-09-28 18:40:00.000000 +00:00,low,-0.45483440278692727
963,2023-09-28 23:59:00.000000 +00:00,high,0.5762692411059951
963,2023-09-29 07:06:00.000000 +00:00,low,-0.4801363952453229
963,2023-09-29 12:25:00.000000 +00:00,high,0.5715297815441348
963,2023-09-29 19:26:00.000000 +00:00,low,-0.47969701028549283
963,2023-09-30 00:47:00.000000 +00:00,high,0.6220726382694692
963,2023-09-30 07:59:00.000000 +00:00,low,-0.4973336699368155
963,2023-09-30 13:14:00.000000 +00:00,high,0.5604873750568216
963,2023-09-30 20:10:00.000000 +00:00,low,-0.4844576882302887
964,2023-09-21 04:14:00.000000 +00:00,high,0.5422564168749651
964,2023-09-21 11:46:00.000000 +00:00,low,-0.2623523259491696
964,2023-09-21 16:49:00.000000 +00:00,high,0.3609165472880483
964,2023-09-21 23:23:00.000000 +00:00,low,-0.32527075858674337
964,2023-09-22 05:04:00.000000 +00:00,high,0.5268895172832416
964,2023-09-22 12:46:00.000000 +00:00,low,-0.25039053999069416
964,2023-09-22 17:47:00.000000 +00:00,high,0.33782858310588243
964,2023-09-23 00:20:00.000000 +00:00,low,-0.30695271178871486
964,2023-09-23 06:03:00.000000 +00:00,high,0.5042868890437282
964,2023-09-23 13:54:00.000000 +00:00,low,-0.25121125548394085
